,date,symbol,mcap,price,volume
0,20140101,BTC,9403308442.61,771.4,22489442.0
1,20140101,LTC,602481995.28,24.62,8092537.5
2,20140101,XRP,210649025.37,0.02694,58533.45
3,20140101,PPC,120494320.26,5.74,3891495.5
4,20140101,OMNI,96761998.54,156.2,105056.1
5,20140101,NXT,70191087.64,0.07019,556022.0
6,20140101,NMC,43064148.55,5.63,2237265.25
7,20140101,QRK,28006973.73,0.1134,66098.96
8,20140101,PTS,25014512.83,20.14,56195.52
9,20140101,MEC,18310273.78,0.8501,33688.31
10,20140101,WDC,18186385.5,0.477,56924.81
11,20140101,XPM,12807620.47,3.35,390839.09
12,20140101,FTC,10048259.6,0.3548,149247.81
13,20140101,IFC,9087078.44,0.0001017,64612.0
14,20140101,DOGE,8335004.87,0.0004397,307917.31
15,20140101,NVC,7610850.48,14.04,68021.23
16,20140101,ZET,6391553.8,0.04011,12904.36
17,20140101,NET,5722980.86,0.02981,109716.33
18,20140101,DVC,4818847.02,0.0008023,21296.02
19,20140101,TIX,4628067.05,6.92e-05,54425.98
20,20140201,BTC,10275203022.91,832.58,19668662.0
21,20140201,LTC,569696731.75,22.47,6694193.0
22,20140201,XRP,161815321.65,0.0207,123949.39
23,20140201,PPC,125985934.51,5.97,2100246.25
24,20140201,NXT,66439750.1,0.06644,156598.81
25,20140201,DOGE,59979965.24,0.001457,1084154.13
26,20140201,OMNI,48226607.12,77.85,10274.46
27,20140201,NMC,44589412.41,5.63,1682297.0
28,20140201,QRK,26787182.3,0.1082,157119.14
29,20140201,PTS,18124420.89,12.86,18822.61
30,20140201,MEC,13935092.33,0.6338,20153.58
31,20140201,WDC,13802401.69,0.3225,69344.8
32,20140201,XPM,13295448.07,3.12,125995.67
33,20140201,IFC,10031910.14,0.0001115,21707.98
34,20140201,FTC,9552282.27,0.2997,157926.02
35,20140201,NVC,7599623.2,13.1,41540.35
36,20140201,TIX,4083552.56,6.106e-05,6643.43
37,20140201,DVC,3467379.88,0.0005583,5806.84
38,20140201,DGC,3432699.32,0.2665,9946.79
39,20140201,ZET,3336066.98,0.02086,8786.9
40,20140301,BTC,7049084125.44,565.61,18668122.0
41,20140301,LTC,356989733.29,13.65,3267216.5
42,20140301,AUR,166606057.75,15.73,159726.27
43,20140301,XRP,107881540.93,0.0138,111575.41
44,20140301,PPC,69789301.41,3.29,332363.41
45,20140301,DOGE,58696933.28,0.001057,1227768.0
46,20140301,NXT,45722673.27,0.04572,131383.33
47,20140301,OMNI,32182674.22,51.95,7489.26
48,20140301,NMC,27554219.32,3.38,218436.28
49,20140301,XCP,12584472.93,4.75,30099.26
50,20140301,PTS,11873388.53,7.64,2113913.5
51,20140301,QRK,11552204.46,0.04665,88252.88
52,20140301,FTC,7895149.96,0.2257,53678.55
53,20140301,MEC,7113252.79,0.3177,124790.38
54,20140301,XPM,6826620.45,1.48,99290.88
55,20140301,IFC,6370440.57,7.056e-05,171019.94
56,20140301,NVC,5461163.74,7.58,29904.18
57,20140301,WDC,4731530.83,0.1013,96337.77
58,20140301,VTC,3732472.04,1.69,88108.2
59,20140301,DASH,3303524.56,0.9373,252311.33
60,20140401,BTC,6023349256.85,478.37,35685848.0
61,20140401,LTC,355878402.57,13.13,7346123.5
62,20140401,XRP,68458143.54,0.008757,172709.38
63,20140401,PPC,43731555.64,2.06,214072.5
64,20140401,DOGE,35541906.91,0.000537,845769.75
65,20140401,AUR,32960252.91,3.09,289121.09
66,20140401,NXT,30022074.62,0.03002,84800.51
67,20140401,OMNI,21295097.4,34.38,1630.16
68,20140401,NMC,19763972.5,2.35,127565.9
69,20140401,PTS,9662160.21,6.14,86348.79
70,20140401,MTC,8540112.83,1.18,1751.56
71,20140401,XCP,5753085.39,2.17,6892.72
72,20140401,QRK,5055525.56,0.02041,13063.31
73,20140401,FTC,4916055.9,0.1282,36177.38
74,20140401,XPM,4264788.07,0.8458,217723.86
75,20140401,NVC,4065633.33,5.39,102870.63
76,20140401,XSV,3862370.95,0.2198,1513.6
77,20140401,VTC,3569110.43,1.15,85077.98
78,20140401,DASH,2815060.81,0.7241,36210.64
79,20140401,IFC,2540987.14,2.809e-05,46151.38
80,20140501,BTC,5821427536.68,457.76,12871837.0
81,20140501,LTC,310545854.64,11.1,4444332.5
82,20140501,PPC,47441168.09,2.22,148219.05
83,20140501,XRP,42319438.85,0.005413,167861.3
84,20140501,DOGE,38085579.52,0.0005045,542605.88
85,20140501,NXT,23055874.47,0.02306,29931.46
86,20140501,OMNI,22783984.17,36.78,16070.46
87,20140501,NMC,19338333.29,2.24,195034.0
88,20140501,BLK,8475473.37,0.1137,255929.92
89,20140501,MAID,6364977.87,0.01406,10438.78
90,20140501,DASH,6351414.17,1.52,232683.78
91,20140501,PTS,6004760.34,3.68,6604.55
92,20140501,AUR,5888435.01,0.5473,8645.49
93,20140501,QRK,4567902.87,0.01843,8617.39
94,20140501,ZET,4435928.51,0.02766,64419.66
95,20140501,XPM,4330486.05,0.7903,22562.27
96,20140501,XCP,4138396.57,1.56,1070.41
97,20140501,FTC,3775908.08,0.09073,14266.36
98,20140501,VTC,3561531.89,0.8991,37879.55
99,20140501,NVC,2478133.35,3.16,8952.0
100,20140601,BTC,8094127199.29,630.23,45259060.0
101,20140601,LTC,321886161.81,11.14,7308224.5
102,20140601,NXT,57204901.33,0.05721,371766.75
103,20140601,DASH,56209180.93,12.93,3460748.25
104,20140601,PPC,43310327.77,2.02,479737.69
105,20140601,DOGE,32411576.04,0.0004027,1715412.88
106,20140601,XRP,31988958.98,0.004092,246244.05
107,20140601,NMC,20355604.12,2.28,399373.56
108,20140601,BLK,15261384.8,0.2047,2687973.75
109,20140601,OMNI,10349619.4,16.71,8832.52
110,20140601,PTS,7275718.14,4.44,53169.92
111,20140601,XCP,7060670.61,2.67,10456.37
112,20140601,XC,6835715.86,1.24,1573057.63
113,20140601,MAID,6512654.6,0.01439,11695.44
114,20140601,VTC,4348691.41,0.896,52805.06
115,20140601,QRK,3978265.46,0.01605,10587.3
116,20140601,XPM,3452777.28,0.5918,60798.87
117,20140601,FTC,2738997.85,0.06105,28611.57
118,20140601,AUR,2622490.58,0.2413,3387.16
119,20140601,QORA,2549969.07,0.000255,30959.46
120,20140701,BTC,8311322251.41,640.81,38446312.0
121,20140701,LTC,232339334.41,7.79,6485844.0
122,20140701,NXT,62090124.43,0.06209,258818.58
123,20140701,DASH,35002956.63,7.9,689083.5
124,20140701,PPC,29958395.85,1.39,147570.89
125,20140701,XRP,28326172.36,0.003623,241869.86
126,20140701,DOGE,22067667.32,0.0002588,448434.09
127,20140701,NMC,16295696.34,1.78,213734.47
128,20140701,BLK,10587614.4,0.142,199683.88
129,20140701,OMNI,9624426.0,15.54,2388.53
130,20140701,BCN,8022415.41,5.119e-05,3807.33
131,20140701,PTS,7468591.74,4.54,20924.49
132,20140701,MAID,7457665.41,0.01648,3684.76
133,20140701,VRC,7347458.85,0.2744,1292154.13
134,20140701,XCP,5436261.9,2.05,5375.51
135,20140701,XC,4418634.48,0.8012,88295.32
136,20140701,ZET,4362417.52,0.02716,89751.6
137,20140701,XMR,4239460.95,2.35,98540.17
138,20140701,QRK,3889980.44,0.01569,9088.75
139,20140701,NTR,3518350.12,0.01672,1327.85
140,20140801,BTC,7786790644.73,594.92,18215930.0
141,20140801,LTC,236842447.33,7.7,1849424.13
142,20140801,NXT,44584122.47,0.04458,36561.59
143,20140801,XRP,44307695.37,0.005369,393153.47
144,20140801,PPC,25761578.25,1.19,83444.05
145,20140801,DASH,25521300.11,5.64,252697.97
146,20140801,BTS,19172589.49,0.009587,136484.17
147,20140801,DOGE,18721334.37,0.0002109,162767.67
148,20140801,NMC,15061444.84,1.59,32049.25
149,20140801,MAID,11614681.83,0.02566,16656.78
150,20140801,MONA,7446058.9,0.7177,83734.01
151,20140801,PTS,7073020.89,4.27,27951.52
152,20140801,XMR,6670825.07,2.67,145176.78
153,20140801,XCP,6591707.16,2.49,6174.69
154,20140801,BLK,6483706.45,0.08687,70291.28
155,20140801,CLOAK,6363732.8,1.41,267011.78
156,20140801,XC,5411126.57,0.98,43315.73
157,20140801,RDD,4043347.79,0.0001501,183426.3
158,20140801,BCN,3783024.6,2.379e-05,2174.65
159,20140801,OMNI,3005137.14,5.34,8691.14
160,20140901,BTC,6276310716.33,474.88,20432028.0
161,20140901,LTC,149180016.86,4.71,2185087.75
162,20140901,XRP,145684460.42,0.005025,267094.84
163,20140901,BTS,56486570.87,0.02824,872095.38
164,20140901,NXT,27111269.03,0.02711,38029.11
165,20140901,PPC,16884492.26,0.7787,39953.98
166,20140901,DOGE,11901209.63,0.0001306,132859.97
167,20140901,DASH,10455644.59,2.27,73376.66
168,20140901,NMC,9813616.45,1.01,105290.39
169,20140901,MAID,8238342.43,0.0182,3484.01
170,20140901,XMR,6443262.98,2.04,268278.69
171,20140901,BTCD,5839091.87,4.94,69355.64
172,20140901,XCP,5294082.91,2.0,17432.7
173,20140901,PTS,4934093.08,2.89,23815.42
174,20140901,XC,3826752.57,0.6917,7017.48
175,20140901,BLK,3122822.94,0.04183,15299.53
176,20140901,BCN,2770085.11,1.72e-05,1135.15
177,20140901,OMNI,2521633.29,4.48,1072.87
178,20140901,MONA,2161576.5,0.1866,14722.94
179,20140901,XLM,2096570.49,0.00201,27974.93
180,20141001,BTC,5115682007.4,383.61,26229440.0
181,20141001,LTC,144081918.03,4.43,1172181.88
182,20141001,XRP,137768275.66,0.004752,64998.25
183,20141001,BTS,64615822.17,0.03231,183852.58
184,20141001,DOGE,34745143.99,0.0003711,1031355.63
185,20141001,NXT,28307899.58,0.02831,43186.18
186,20141001,PPC,20869333.56,0.9581,65129.23
187,20141001,DASH,11577450.43,2.46,223262.7
188,20141001,NMC,10530843.64,1.06,48607.11
189,20141001,MAID,9115424.56,0.02014,45630.25
190,20141001,PTS,6171851.83,3.56,62867.22
191,20141001,BTCD,5340456.63,4.5,41567.84
192,20141001,XCP,5223599.13,1.97,5366.85
193,20141001,XMR,4526488.46,1.2,65139.91
194,20141001,UNITY,4502350.34,5.52,41226.25
195,20141001,BLK,4153269.5,0.05561,18274.93
196,20141001,XLM,3734794.44,0.00288,70179.95
197,20141001,NXTV,3256167.41,3.26,8104.6
198,20141001,XC,2835280.02,0.5114,2301.15
199,20141001,BCN,2560933.7,1.572e-05,7699.34
200,20141101,BTC,4382113896.08,325.75,16677188.0
201,20141101,XRP,135404746.04,0.004671,190204.41
202,20141101,LTC,119360039.43,3.57,2476223.25
203,20141101,BTS,29014272.03,0.01451,486099.59
204,20141101,DOGE,21654251.12,0.000228,18844554.0
205,20141101,NXT,17866522.34,0.01787,74808.66
206,20141101,PPC,16592052.91,0.7595,94328.68
207,20141101,MAID,9916600.37,0.02191,49210.7
208,20141101,XCP,9223654.67,3.48,16641.09
209,20141101,NMC,8633971.79,0.8499,11466.3
210,20141101,DASH,8034954.9,1.67,32685.72
211,20141101,PTS,2660191.39,1.51,26482.38
212,20141101,NXTTY,2590716.58,0.002591,2576.64
213,20141101,XMR,2565703.44,0.5858,33871.66
214,20141101,BTCD,2454789.55,2.06,29662.85
215,20141101,BLK,2310275.59,0.03093,12067.06
216,20141101,XLM,2304265.75,0.001548,494272.44
217,20141101,USNBT,2242843.52,1.0,11185.17
218,20141101,UNITY,2073933.69,2.54,7765.23
219,20141101,BCN,1768933.53,1.074e-05,4745.98
220,20141201,BTC,5143440191.72,379.25,11762986.0
221,20141201,XRP,387823660.32,0.01256,3453746.5
222,20141201,LTC,122774759.98,3.58,1275116.25
223,20141201,BTS,48807519.88,0.01954,285530.72
224,20141201,DOGE,23250671.21,0.0002415,301616.66
225,20141201,NXT,19760759.9,0.01976,34834.45
226,20141201,PPC,16084627.62,0.7342,31375.61
227,20141201,XCP,14787733.66,5.59,8401.86
228,20141201,MAID,13479639.33,0.02979,18835.54
229,20141201,DASH,11622841.32,2.37,46361.8
230,20141201,NMC,9451222.26,0.9087,18229.56
231,20141201,XLM,9003301.48,0.002541,73122.25
232,20141201,FC2,5764792.49,0.05759,7591.03
233,20141201,NSR,4396816.04,0.007273,67570.88
234,20141201,UNITY,3224583.47,3.95,9252.79
235,20141201,BTCD,2963935.8,2.48,4227.49
236,20141201,BANX,2933006.89,1.13,17042.84
237,20141201,XMR,2344415.88,0.4745,78718.09
238,20141201,USNBT,2249526.04,1.0,268100.59
239,20141201,BLK,2166947.26,0.029,135332.03
240,20150101,BTC,4297535254.01,314.25,8036547.0
241,20150101,XRP,755559204.14,0.02439,399022.44
242,20150101,XPY,95951277.32,7.78,427807.13
243,20150101,LTC,95086706.84,2.7,770692.69
244,20150101,BTS,40794405.67,0.01633,116338.34
245,20150101,MAID,24447792.8,0.05402,13094.27
246,20150101,XLM,19541311.09,0.005493,20514.34
247,20150101,DOGE,17778475.75,0.0001829,306912.72
248,20150101,NXT,17703597.25,0.0177,22125.05
249,20150101,PPC,12831534.34,0.5838,33766.12
250,20150101,XCP,10525992.65,3.98,5316.56
251,20150101,DASH,9714873.81,1.94,14957.15
252,20150101,NMC,7459610.68,0.7036,12194.05
253,20150101,FC2,5031661.77,0.05023,4161.43
254,20150101,NSR,4135005.74,0.006819,3455.85
255,20150101,UNITY,3921723.97,4.81,4375.44
256,20150101,YBC,3356684.09,1.12,34600.05
257,20150101,BANX,2926530.28,1.13,4241.12
258,20150101,XMR,2561248.62,0.4658,24999.77
259,20150101,BLK,2305483.0,0.03084,73203.58
260,20150201,BTC,3129632209.53,226.97,29128458.0
261,20150201,XRP,437986234.56,0.01414,852106.0
262,20150201,LTC,65106975.28,1.8,2661610.75
263,20150201,BTS,26143405.16,0.01047,122707.35
264,20150201,XPY,19897205.56,1.58,84445.59
265,20150201,XLM,14874644.54,0.004142,70974.52
266,20150201,DOGE,14084122.95,0.0001439,199772.38
267,20150201,MAID,14029362.25,0.031,5224.61
268,20150201,NXT,11894225.06,0.01189,27246.68
269,20150201,DASH,9588423.11,1.88,296157.16
270,20150201,PPC,7434526.41,0.3371,68119.41
271,20150201,NMC,5252078.47,0.4857,11182.53
272,20150201,XCP,5210856.97,1.97,3085.59
273,20150201,NSR,5005294.37,0.008229,9864.68
274,20150201,BANX,4413416.56,1.23,768.83
275,20150201,YBC,2885873.79,0.962,89680.79
276,20150201,USNBT,2304652.42,1.03,683360.81
277,20150201,UNITY,2274728.13,2.79,10394.35
278,20150201,XMR,1809687.94,0.3,17050.53
279,20150201,BCN,1630360.47,9.645e-06,5840.03
280,20150301,BTC,3615184871.86,260.2,25213656.0
281,20150301,XRP,390514760.63,0.01224,1496972.38
282,20150301,LTC,69797587.31,1.89,1697215.25
283,20150301,BTS,26644748.13,0.01065,108475.49
284,20150301,DASH,17199121.16,3.33,89917.31
285,20150301,MAID,14812231.84,0.03273,6218.33
286,20150301,DOGE,14350879.65,0.0001458,91861.59
287,20150301,NXT,13380912.39,0.01338,25290.83
288,20150301,XPY,12654260.87,0.9227,13785.84
289,20150301,XLM,10061646.51,0.002781,17782.14
290,20150301,PPC,8569213.56,0.3874,23039.89
291,20150301,NMC,5475049.1,0.4974,9858.7
292,20150301,BANX,5062852.18,1.41,4493.31
293,20150301,XCP,3316135.31,1.25,4661.27
294,20150301,NSR,3303360.16,0.004654,1337.03
295,20150301,UNITY,2770672.03,3.4,1719.18
296,20150301,XMR,2768485.88,0.426,23254.58
297,20150301,YBC,2758976.7,0.9197,24715.4
298,20150301,USNBT,2319838.72,1.02,17999.8
299,20150301,MONA,1741741.24,0.1024,7502.6
300,20150401,BTC,3463621235.47,247.27,22877226.0
301,20150401,XRP,244673219.17,0.007668,708057.5
302,20150401,LTC,62908786.07,1.66,1245880.63
303,20150401,DASH,20119964.1,3.83,242956.75
304,20150401,BTS,15756967.43,0.00629,28890.92
305,20150401,DOGE,12653511.41,0.000128,74920.86
306,20150401,XLM,12046277.97,0.002803,10522.59
307,20150401,NXT,10189801.67,0.01019,48830.05
308,20150401,XPY,8959954.89,0.5972,70258.22
309,20150401,MAID,8675354.39,0.01917,8867.19
310,20150401,PPC,7146817.81,0.322,19297.09
311,20150401,XMR,7042496.32,1.01,119202.7
312,20150401,BANX,4808476.11,1.34,13963.92
313,20150401,NMC,4425392.47,0.3939,4213.19
314,20150401,YBC,3517429.95,1.17,38750.75
315,20150401,XCP,2887002.33,1.09,6578.47
316,20150401,NSR,2650796.48,0.003241,1530.64
317,20150401,MONA,2616312.51,0.1442,21590.96
318,20150401,BCN,2461062.06,1.436e-05,4579.73
319,20150401,XEM,2180938.99,0.0002423,65524.86
320,20150501,BTC,3275581427.49,232.08,18815292.0
321,20150501,XRP,255858042.88,0.008018,663959.13
322,20150501,LTC,54371767.07,1.41,1169672.0
323,20150501,DASH,14619348.83,2.74,149552.36
324,20150501,XLM,12765342.22,0.002647,5404.7
325,20150501,MAID,10611174.88,0.02345,6617.4
326,20150501,DOGE,9689693.4,9.764e-05,110576.58
327,20150501,NXT,9226127.74,0.009226,10649.18
328,20150501,BTS,8760471.32,0.003492,40136.7
329,20150501,BANX,7216948.66,1.42,14647.0
330,20150501,PPC,5106784.01,0.2293,5955.17
331,20150501,BCN,4668218.18,2.709e-05,8068.98
332,20150501,XMR,3712413.11,0.5,13569.47
333,20150501,NMC,3655447.8,0.3194,10852.32
334,20150501,YBC,2893428.68,0.9645,46396.51
335,20150501,XCP,2489262.69,0.9423,914.5
336,20150501,XPY,2078273.18,0.1323,17612.07
337,20150501,NSR,1957156.16,0.002404,1182.85
338,20150501,SWARM,1583102.07,0.01584,1515.92
339,20150501,MONA,1442034.74,0.07502,13253.46
340,20150601,BTC,3171169613.64,222.93,26090512.0
341,20150601,XRP,241819599.7,0.007579,777564.75
342,20150601,LTC,63899978.08,1.62,1998469.25
343,20150601,BTS,15228822.67,0.006063,127882.95
344,20150601,XLM,14866603.68,0.003073,20680.56
345,20150601,DASH,14374991.76,2.65,75761.13
346,20150601,DOGE,14097605.25,0.0001415,349099.69
347,20150601,NXT,10641154.66,0.01064,22836.26
348,20150601,BANX,7951115.54,1.36,12280.18
349,20150601,MAID,7652042.46,0.01691,4374.84
350,20150601,BCN,6303391.08,3.636e-05,14163.15
351,20150601,PPC,6207433.1,0.2775,64170.86
352,20150601,NMC,3586830.67,0.3077,23566.56
353,20150601,XMR,3571320.61,0.4516,21924.02
354,20150601,YBC,2807506.26,0.9358,51091.35
355,20150601,BLK,2350441.5,0.03137,18712.07
356,20150601,XCP,2335229.03,0.8843,1762.48
357,20150601,MONA,2306753.95,0.1149,3678.0
358,20150601,IFC,2092985.07,2.31e-05,54160.76
359,20150601,NSR,1625996.21,0.002001,521.91
360,20150701,BTC,3707306204.4,258.62,27029822.0
361,20150701,XRP,357323849.16,0.0112,558247.56
362,20150701,LTC,158580741.46,3.92,7113185.0
363,20150701,DOGE,19332929.6,0.0001933,385336.69
364,20150701,BTS,17125122.5,0.006817,60573.66
365,20150701,XLM,16728457.75,0.003458,13853.07
366,20150701,DASH,15552544.14,2.82,49328.92
367,20150701,NXT,13182487.24,0.01318,58706.54
368,20150701,PPC,10861158.25,0.4838,239768.89
369,20150701,BANX,10758198.78,1.74,6129.54
370,20150701,MAID,8495014.83,0.01877,8537.88
371,20150701,NMC,7824985.47,0.6591,83176.48
372,20150701,BCN,5688531.16,3.265e-05,4871.86
373,20150701,XMR,4155696.47,0.4988,16985.88
374,20150701,START,3995451.02,0.1491,45200.54
375,20150701,BLK,3559973.32,0.0475,72258.04
376,20150701,MONA,3470982.77,0.1658,4740.63
377,20150701,XCP,3271038.08,1.24,2458.02
378,20150701,YBC,2892313.6,0.9641,50098.27
379,20150701,XPM,2375652.79,0.2231,244741.06
380,20150801,BTC,4069124088.27,281.6,18995048.0
381,20150801,XRP,262351865.18,0.008222,196429.03
382,20150801,LTC,171588211.76,4.15,6284531.5
383,20150801,DASH,20342041.98,3.61,63208.81
384,20150801,DOGE,17575915.25,0.000175,157221.23
385,20150801,MAID,14755943.37,0.03261,6162.53
386,20150801,BANX,13457631.06,1.89,7869.36
387,20150801,BCN,13427594.07,7.669e-05,39970.18
388,20150801,XLM,12778538.48,0.002642,11103.28
389,20150801,BTS,12232935.2,0.00487,24336.11
390,20150801,PPC,11208700.62,0.4976,105262.19
391,20150801,NXT,11194651.1,0.01119,25404.24
392,20150801,NMC,7391845.52,0.6105,37806.77
393,20150801,XMR,5150909.97,0.5887,47982.11
394,20150801,XCP,4710774.51,1.78,2395.86
395,20150801,ETC,2961136.58,2.96,9119.74
396,20150801,YBC,2704439.88,0.9015,65010.32
397,20150801,CLAM,2456393.71,3.05,11956.64
398,20150801,BLK,2425184.6,0.03235,23824.4
399,20150801,MONA,2401031.13,0.1111,2637.52
400,20150901,BTC,3322554401.63,228.12,20575206.0
401,20150901,XRP,253894522.69,0.007815,401902.94
402,20150901,LTC,118709526.01,2.82,1376038.0
403,20150901,ETH,98507852.28,1.35,778861.69
404,20150901,DASH,14586373.29,2.54,70242.53
405,20150901,DOGE,12814625.4,0.0001271,68704.35
406,20150901,BANX,12369430.0,1.73,8979.07
407,20150901,XLM,11779813.27,0.002435,4817.81
408,20150901,BCN,10105075.6,5.747e-05,16594.26
409,20150901,MAID,9989953.4,0.02207,12773.41
410,20150901,BTS,8423110.24,0.003353,37946.0
411,20150901,NXT,8048025.8,0.008048,10544.7
412,20150901,PPC,7757871.39,0.3433,25895.51
413,20150901,NMC,4879591.07,0.3951,8267.46
414,20150901,XMR,4195022.78,0.4585,13803.79
415,20150901,TRMB,2466542.81,0.157,16839.33
416,20150901,MONA,2384095.99,0.1075,1150.42
417,20150901,XCP,2306270.41,0.8737,2165.14
418,20150901,YBC,1860717.24,0.6202,16261.37
419,20150901,BLK,1675998.39,0.02235,3911.8
420,20151001,BTC,3486370918.98,237.55,20488800.0
421,20151001,XRP,177004868.35,0.005448,557596.88
422,20151001,LTC,127686130.14,3.0,1644009.0
423,20151001,ETH,50805887.61,0.6902,596084.38
424,20151001,BTS,15185923.21,0.006045,121291.68
425,20151001,DASH,13396704.79,2.29,48612.37
426,20151001,BANX,12953309.95,1.81,9360.47
427,20151001,DOGE,12387831.63,0.0001224,28259.82
428,20151001,XLM,10760213.5,0.002224,12893.78
429,20151001,PPC,8834018.84,0.3898,22284.79
430,20151001,MAID,8423769.16,0.01861,46628.77
431,20151001,NXT,8262068.25,0.008262,14448.8
432,20151001,NMC,4732051.91,0.3765,32165.9
433,20151001,BCN,4424786.15,2.507e-05,11373.03
434,20151001,TRMB,4096588.98,0.1573,34091.71
435,20151001,XMR,3852807.63,0.4047,27171.58
436,20151001,XCP,2338594.14,0.8861,733.0
437,20151001,MONA,2050261.4,0.09025,4341.98
438,20151001,BLK,2036568.85,0.02715,3754.28
439,20151001,YBC,1767154.28,0.5891,21096.39
440,20151101,BTC,4813284493.67,325.43,37001108.0
441,20151101,LTC,170183389.6,3.96,3801479.75
442,20151101,XRP,162511634.35,0.004901,490105.47
443,20151101,ETH,78530175.58,1.06,588913.06
444,20151101,DASH,15842369.86,2.66,79513.27
445,20151101,DOGE,14362087.9,0.0001413,65837.34
446,20151101,BTS,10921897.41,0.004348,86421.17
447,20151101,XLM,10294793.18,0.002128,10484.2
448,20151101,PPC,8677780.62,0.3817,37131.25
449,20151101,NXT,7624970.96,0.007625,12105.17
450,20151101,MAID,7370540.29,0.01629,21399.56
451,20151101,TRMB,6482569.52,0.1583,36344.57
452,20151101,BCN,6323254.07,3.569e-05,561.41
453,20151101,NMC,5038319.66,0.3937,13505.1
454,20151101,XMR,4187538.89,0.4235,27613.45
455,20151101,GRC,3778434.36,0.01023,9371.2
456,20151101,XCP,2832257.47,1.07,12966.44
457,20151101,DGB,2174009.61,0.0004122,28591.75
458,20151101,YBC,2128245.06,0.7094,52518.71
459,20151101,BLK,2072928.36,0.02762,11550.19
460,20151201,BTC,5403659484.42,362.49,60452208.0
461,20151201,LTC,149109386.31,3.43,2841631.5
462,20151201,XRP,137170516.86,0.00409,312400.53
463,20151201,ETH,65738037.41,0.8748,652857.0
464,20151201,DOGE,12986514.1,0.0001273,132870.27
465,20151201,DASH,12570194.45,2.08,37006.71
466,20151201,PPC,9326280.57,0.4089,109511.81
467,20151201,XLM,8410230.29,0.001739,4810.21
468,20151201,BTS,8096982.22,0.003195,92897.44
469,20151201,NXT,6054526.31,0.006055,31282.64
470,20151201,NMC,5897437.27,0.4526,32328.73
471,20151201,MAID,5621958.86,0.01242,16950.42
472,20151201,NSR,4898340.13,0.00594,1016.35
473,20151201,GRC,4413168.46,0.01191,8851.25
474,20151201,BCN,4223281.47,2.376e-05,8848.9
475,20151201,RBY,3900006.3,0.1737,4169.19
476,20151201,XMR,3845800.22,0.376,20745.65
477,20151201,GCR,2473382.15,0.02471,65016.83
478,20151201,YBC,1959394.32,0.6519,38052.52
479,20151201,XCP,1873356.37,0.7112,6564.87
480,20160101,BTC,6529295683.57,434.33,36278856.0
481,20160101,XRP,199716546.06,0.005955,211767.44
482,20160101,LTC,153910921.49,3.51,2791166.25
483,20160101,ETH,71980416.23,0.948,206062.28
484,20160101,DASH,20614654.86,3.38,98317.07
485,20160101,DOGE,15821162.83,0.0001544,105224.06
486,20160101,PPC,9511809.31,0.4157,29451.75
487,20160101,BTS,8777084.45,0.00346,18589.87
488,20160101,XLM,8456618.58,0.001748,4947.47
489,20160101,NXT,6677561.14,0.006678,11145.54
490,20160101,MAID,6514439.9,0.01439,5787.2
491,20160101,NMC,6023931.77,0.4538,10558.05
492,20160101,BCN,5481033.95,3.074e-05,7178.14
493,20160101,XMR,5259522.1,0.4979,88913.65
494,20160101,FCT,5178074.88,0.5915,502537.91
495,20160101,GRC,3260224.13,0.008775,2095.17
496,20160101,RBY,3117577.46,0.1382,1264.01
497,20160101,EMC,2859828.78,0.07772,1244.22
498,20160101,CLAM,2197584.9,1.44,9334.57
499,20160101,BLK,2080739.82,0.02768,5672.08
500,20160201,BTC,5653741138.89,373.06,51656732.0
501,20160201,XRP,221896025.22,0.006542,830380.5
502,20160201,ETH,169654756.91,2.21,3994097.5
503,20160201,LTC,136343305.35,3.08,1502434.13
504,20160201,DOGE,27810850.52,0.0002702,629833.88
505,20160201,DASH,25486534.82,4.12,61712.65
506,20160201,PPC,9572782.41,0.417,43320.4
507,20160201,MAID,8734883.98,0.0193,40138.43
508,20160201,XLM,8670001.13,0.001792,14159.0
509,20160201,BTS,8560037.83,0.00337,33608.46
